ID,Varga (Chapter),Sanskrit Name,Latin Name,Hindi Name,Gujarati Name,English Name,Rasa (Taste),Virya (Potency),Vipaka (Post-digest),Guna (Quality),Prabhava (Special Action),Vata Effect,Pitta Effect,Kapha Effect,Dosha Note,Key Benefits,Indications,Contraindications,Powder Dose,Timing,Anupana (Carrier),Key Formulations,Part Used,Active Compounds,Research Keywords,Special Note
herb_011,Guduchyadi Varga,Brahmi,Bacopa monnieri,Brahmi,Brahmi,Water Hyssop,"Tikta, Kashaya, Madhura",Sheeta,Madhura,"Laghu, Sara",,decreases,strongly decreases,decreases,,Memory and cognition | Reduces anxiety/stress | ADHD | Epilepsy support | Concentration | Thyroid regulation | Brain anti-aging,"Poor memory, Anxiety, ADHD, Epilepsy, Stress, Insomnia, Skin diseases",Avoid excess with thyroid medication | Drowsiness in high doses,3-6g,Morning and evening,,"Brahmi Ghrita, Saraswatarishta, Brahmi Vati",Whole plant,"Bacosides A & B, Bacopaside I-II","nootropic, anxiolytic, memory, neuroplasticity",
herb_012,Guduchyadi Varga,Shankhapushpi,Convolvulus pluricaulis,Shankhpushpi,Shankhavali,Morning Glory,"Tikta, Kashaya",Sheeta,Madhura,"Snigdha, Sara",,decreases,decreases,decreases,,Brain tonic | Reduces mental fatigue | Calms hyperactive mind | Improves intelligence | Reduces hypertension | Sleep induction,"Poor memory, Mental fatigue, Hypertension, Insomnia, Anxiety, Epilepsy",,3-5g,,Milk or water,"Saraswatarishta, Shankhapushpi Syrup, Medhya Rasayana",Whole plant,"Shankhapushpine, Convolvine","nootropic, antihypertensive, neuroprotective",
herb_013,Guduchyadi Varga,Punarnava,Boerhavia diffusa,Punarnava,Satodi,Red Hogweed,"Madhura, Tikta, Kashaya",Ushna,Madhura,"Laghu, Ruksha",,decreases,decreases,strongly decreases,,Best kidney herb | Reduces edema | Diuretic | Liver tonic | Anemia | Rasayana,"Kidney disease, Edema, Anemia, Liver disorders, Obesity, Urinary disorders",,3-6g,,Warm water,"Punarnavadi Mandur, Punarnavasava, Punarnavadi Kashayam","Root, whole plant",,,
herb_014,Karpuradi Varga,Haridra,Curcuma longa,Haldi,Haldi,Turmeric,"Katu, Tikta",Ushna,Katu,"Laghu, Ruksha","Varnya, Krimighna",decreases,decreases (small doses),decreases,,Anti-inflammatory | Wound healing | Skin health | Liver detox | Anti-cancer (emerging) | Diabetes | Joint pain | Antimicrobial,"Skin diseases, Diabetes, Liver problems, Arthritis, Wounds, Anemia",Gallstones large doses | Blood thinners — consult doctor,1-3g,With meals or golden milk at night,,"Haridra Khanda, Nimbadi Churna, Arogyavardhini Vati",Rhizome,"Curcumin, Bisdemethoxycurcumin, Ar-turmerone","anti-inflammatory, antioxidant, antitumor, hepatoprotective, antidiabetic",Add black pepper (piperine) to increase curcumin absorption by 2000%
herb_015,Karpuradi Varga,Nimba,Azadirachta indica,Neem,Limdo,Neem / Indian Lilac,"Tikta, Kashaya",Sheeta,Katu,"Laghu, Ruksha",,mild increase,strongly decreases,decreases,,Best blood purifier | Skin diseases — acne/eczema/psoriasis | Anti-parasitic/anti-fungal | Diabetes | Dental health | Liver tonic | Fever,"Skin diseases, Diabetes, Malaria, Worms, Dental problems, Liver disorders, Fever",Pregnancy large doses (abortifacient) | Emaciation | Vata disorders alone,3-5g,Morning empty stomach,,"Nimbadi Churna, Mahamanjistharishta, Panchatikta Ghrita","Leaves, bark, seeds, oil","Nimbin, Nimbolide, Azadirachtin, Quercetin","antimicrobial, antifungal, antidiabetic, anti-inflammatory",
herb_016,Eladi Varga,Ela (Sukshmaila),Elettaria cardamomum,Elaichi (small),Elchi,Green Cardamom,"Madhura, Katu",Sheeta,Madhura,"Laghu, Ruksha",,decreases,decreases,decreases,,Digestive carminative | Freshens breath | Respiratory health | Urinary disorders | Heart tonic | Reduces nausea,"Bad breath, Nausea, Cough, Asthma, UTI, Indigestion",,1-2g,,,"Eladi Churna, Sitopaladi Churna, Eladi Vati",Seeds,,,
herb_017,Eladi Varga,Tvak,Cinnamomum zeylanicum,Dalchini,Taj,Cinnamon,"Madhura, Katu, Tikta",Ushna,Katu,"Laghu, Ruksha, Tikshna",,decreases,mild increase,strongly decreases,,Blood sugar regulation | Cardiac tonic | Digestive | Antimicrobial | Warming | Improves circulation,"Diabetes, Indigestion, Cold extremities, Obesity, Cholesterol",,1-3g,,,"Sitopaladi, Trikatu variations",Bark,,,
herb_018,Eladi Varga,Lavanga,Syzygium aromaticum,Laung,Lavang,Clove,"Katu, Tikta",Ushna,Katu,"Laghu, Tikshna, Snigdha",,decreases,mild increase,decreases,,Dental pain relief | Digestive | Respiratory | Anti-nausea | Antimicrobial | Freshens breath,"Toothache, Nausea, Cough, Indigestion, Oral infections",,0.5-1g,,,"Lavangadi Vati, Sitopaladi, Clove oil dental",Flower buds,"Eugenol, Eugenyl acetate","antimicrobial, analgesic, antioxidant",
herb_019,Karpuradi Varga,Jeeraka,Cuminum cyminum,Jeera,Jeeru,Cumin,Katu,Ushna,Katu,"Laghu, Ruksha",,decreases,mild increase,decreases,,Digestive carminative | Removes bloating | Postpartum recovery | Improves Agni | Urinary infections,"Indigestion, Bloating, IBS, Postpartum, UTI",,1-3g,,,"Jeerakadi Modaka, CCF Tea (Cumin-Coriander-Fennel)",Seeds,,,
herb_020,Karpuradi Varga,Dhanyaka,Coriandrum sativum,Dhaniya,Dhana,Coriander,"Katu, Tikta",Sheeta,Madhura,"Laghu, Snigdha",,decreases,strongly decreases,decreases,,Digestive | Reduces burning sensation | Urinary disorders | Fever | Anti-allergic | Skin health,"Burning urine, Allergy, Pitta fever, Skin rash, Indigestion",,,,,"CCF Tea, Dhanyakadi Hima","Seeds, leaves",,,
herb_021,Karpuradi Varga,Shatapushpa (Fennel),Foeniculum vulgare,Saunf,Variyali,Fennel,"Madhura, Katu",Ushna,Madhura,"Laghu, Snigdha",,decreases,decreases,decreases,,Post-meal digestive | Galactagogue | Eye health | Menstrual regulation | Freshens breath,"After-meal bloating, Low breast milk, Eye disorders, Menstrual cramps",,,,,"CCF Tea, Jeerakadi Modaka",Seeds,,,
herb_022,Guduchyadi Varga,Manjishtha,Rubia cordifolia,Manjith,Manjith,Indian Madder,"Madhura, Tikta, Kashaya",Ushna,Katu,"Guru, Ruksha",,decreases,decreases,decreases,,Best blood purifier skin herb | Acne/eczema/psoriasis | Pigmentation | Lymphatic cleanser | Menstrual disorders | Anti-inflammatory,"Acne, Eczema, Psoriasis, Pigmentation, Menstrual disorders, Lymph congestion",,3-6g,,,"Manjistadi Kwatha, Mahamanjistharishta, Sarivadi Vati",Root,,,
herb_023,Guduchyadi Varga,Yashtimadhu,Glycyrrhiza glabra,Mulethi,Jethimadh,Licorice Root,Madhura,Sheeta,Madhura,"Guru, Snigdha",,decreases,strongly decreases,mild increase in excess,,Gastric ulcers | Throat soother | Respiratory infections | Adrenal fatigue | Skin health | Anti-inflammatory,"Gastric ulcer, GERD, Sore throat, Cough, Adrenal fatigue, Skin diseases",High blood pressure (raises BP via glycyrrhizin) | Edema | Pregnancy large doses | Kidney disease,3-5g,,,"Yashtimadhu Churna, DGL for ulcers, Sitopaladi",Root,,,
herb_024,Guduchyadi Varga,Gokshura,Tribulus terrestris,Gokhru,Gokharu,Puncture Vine,Madhura,Sheeta,Madhura,"Guru, Snigdha",,decreases,decreases,mild increase,,Kidney and urinary tonic | Dissolves kidney stones | Male reproductive health | Cardiac tonic | Muscle building mild | Dysuria,"Kidney stones, UTI, Painful urination, Male infertility, Erectile dysfunction, Cardiac weakness",,3-6g,,Warm milk or water,"Gokshuradi Guggulu, Chandraprabha Vati, Gokshuradi Churna","Fruit, roots, leaves",,,
herb_025,Guduchyadi Varga,Shilajatu,Asphaltum (Mineral pitch),Shilajit,Shilajit,Shilajit / Mineral Pitch,"Tikta, Katu, Kashaya, Lavana",Ushna,Katu,"Laghu, Ruksha",,decreases,mild increase,strongly decreases,,Anti-aging Rasayana | Energy and stamina | Testosterone and male fertility | Cognitive enhancement | Diabetes | Kidney health | Mineral replenishment,"Fatigue, Male infertility, Diabetes, Kidney disorders, Cognitive decline, Arthritis",Gout | Hemochromatosis | Avoid raw/fake shilajit,,Morning with warm milk,,"Shilajit Rasayana, Chandraprabha Vati",Mineral exudate (not a plant),"Fulvic acid, Humic acid, DBPs, 80+ trace minerals","testosterone, adaptogen, mitochondrial energy, anti-aging, cognitive",
herb_026,Guduchyadi Varga,Bhumyamalaki,Phyllanthus niruri,Bhumiamla,Bhumiamla,Stonebreaker / Chanca Piedra,"Tikta, Kashaya",Sheeta,Madhura,"Laghu, Ruksha",,mild increase,strongly decreases,decreases,,Best liver herb — hepatitis/fatty liver | Kidney stones | Urinary health | Blood sugar | Anti-viral Hepatitis B,"Jaundice, Hepatitis, Kidney stones, UTI, Diabetes, Liver cirrhosis",,3-5g,,,"Phyllanthus compound, Liv-52 contains this",Whole plant,,,
herb_027,Guduchyadi Varga,Arjuna,Terminalia arjuna,Arjun,Sadado,Arjuna Tree,Kashaya,Sheeta,Katu,"Laghu, Ruksha",,decreases,decreases,decreases,,Best cardiac tonic in Ayurveda | Strengthens heart muscle | Reduces cholesterol | Hypertension | Post-heart attack recovery,"Heart disease, Hypertension, High cholesterol, Chest pain, Congestive heart failure",,3-6g,Twice daily with milk,,"Arjuna Ksheerapaka, Arjunarishta, Hridayarnava Rasa",Bark,,,
herb_028,Karpuradi Varga,Methi,Trigonella foenum-graecum,Methi,Methi,Fenugreek,"Tikta, Katu",Ushna,Katu,"Guru, Snigdha",,decreases,mild increase,decreases,,Blood sugar regulation | Cholesterol reduction | Increases breast milk | Joint pain | Digestive | Hair health external | Weight management,"Diabetes, Cholesterol, Joint pain, Low milk supply, Constipation, Hair fall",,2-5g,,,"Methika Churna, Panchasakara Churna","Seeds, leaves",,,
herb_029,Guduchyadi Varga,Katuki,Picrorhiza kurroa,Kutki,Kadu,Kutki / Helleborine,"Tikta, Katu",Sheeta,Katu,"Laghu, Ruksha",,mild increase,strongly decreases,decreases,,Best bitter liver tonic | Liver disease — hepatitis/fatty/cirrhosis | Fever (malarial) | Skin diseases | Asthma | Diabetes,"Liver diseases, Jaundice, Chronic fever, Skin diseases, Asthma",,0.5-2g (potent — low dose),,Honey or warm water,"Katukadi Churna, Arogyavardhini Vati, Liv-52",Root/rhizome,,,
herb_030,Guduchyadi Varga,Chitraka,Plumbago zeylanica,Chitrakmool,Chitrak,Ceylon Leadwort,Katu,Ushna,Katu,"Laghu, Ruksha, Tikshna",Deepana (strongest digestive fire stimulant),decreases,increases,strongly decreases,,Strongest digestive stimulant | Obesity | Ama removal | Skin diseases | Piles | Worms,"Obesity, Weak digestion, Piles, Skin diseases",Pitta conditions | Pregnancy | Ulcers,0.5-1g (potent herb),,Buttermilk or warm water,"Chitrakaharitaki, Chitrakadi Vati",Root,,,
herb_031,Guduchyadi Varga,Vacha,Acorus calamus,Bach,Vaj,Sweet Flag / Calamus,"Katu, Tikta",Ushna,Katu,"Laghu, Tikshna",,decreases,mild increase,strongly decreases,,Brain tonic (Medhya) | Stammering and speech disorders in children | Digestive carminative | Epilepsy | Throat disorders | Anti-worm,"Poor speech, Epilepsy, Brain health, Digestive issues, Throat problems",,0.5-2g,,Honey or warm water,"Vacha Churna, Saraswatarishta, Brahmi-Vacha compound",Rhizome,,,
herb_032,Guduchyadi Varga,Sariva (Anantamool),Hemidesmus indicus,Anantmool,Upalsari,Indian Sarsaparilla,"Madhura, Tikta",Sheeta,Madhura,"Laghu, Snigdha",,decreases,strongly decreases,decreases,,Blood purifier | Skin diseases | Urinary health | Anti-inflammatory | Fever | Leucorrhea,"Skin diseases, UTI, Fever, Leucorrhea, Acne",,3-5g,,,"Sarivadyasava, Mahamanjistharishta",Root,,,
herb_033,Guduchyadi Varga,Vidanga,Embelia ribes,Vayavidanga,Vavding,False Black Pepper,"Katu, Kashaya",Ushna,Katu,"Laghu, Ruksha",,decreases,mild increase,strongly decreases,,Powerful anti-parasitic | Anti-worm | Digestive | Skin diseases | Obesity,"Worm infestation, Intestinal parasites, Obesity, Skin diseases",,3-5g,,Warm water or buttermilk,"Vidangadi Churna, Vidangarishta",Fruit,,,
herb_034,Guduchyadi Varga,Bala,Sida cordifolia,Bala,Bala,Country Mallow,Madhura,Sheeta,Madhura,"Guru, Snigdha",,strongly decreases,decreases,mild increase,,Strengthens muscles and nerves | Neuromuscular Vata conditions | Cardiac tonic | Aphrodisiac | Elderly rejuvenation,"Paralysis, Muscular weakness, Cardiac conditions, Sexual debility, Emaciation",,3-6g,,Milk,"Bala Taila, Balaswagandhadi Churna, Narayana Taila","Root, whole plant",,,
herb_035,Guduchyadi Varga,Devadaru,Cedrus deodara,Devdar,Devdar,Deodar Cedar,"Katu, Tikta, Madhura",Ushna,Katu,"Laghu, Snigdha, Tikshna",,decreases,mild increase,strongly decreases,,Joint pain Vata disorders | Skin diseases | Edema | Urinary disorders | Fever | Worms,"Arthritis, Edema, Skin diseases, UTI, Chronic fever",,3-6g,,,"Devadarvarishtam, Dashamoola","Heartwood, oil",,,
herb_036,Guduchyadi Varga,Eranda,Ricinus communis,Arandi,Erand,Castor,"Madhura, Katu",Ushna,Madhura,"Guru, Snigdha, Tikshna",,strongly decreases,mild increase,decreases,,Best Vata-disorder treatment | Joint pain arthritis | Constipation (castor oil) | Uterine health | Lower back pain sciatica,"Arthritis, Constipation, Sciatica, Lower back pain, Uterine disorders",Diarrhea | Pregnancy large doses,,,,"Eranda Taila (castor oil), Gandharvaharitaki, Erandabhrishtam","Root, seed oil, leaves",,,
herb_037,Guduchyadi Varga,Karela,Momordica charantia,Karela,Karelu,Bitter Melon,Tikta,Ushna,Katu,"Laghu, Ruksha",,mild increase,decreases,decreases,,Powerful anti-diabetic | Blood sugar control | Blood purifier | Liver health | Skin diseases | Anti-worm,"Diabetes, Skin diseases, Liver disorders, Worms, Fever",,3-5g,Morning empty stomach for diabetes,,"Karela Juice, Karela Powder capsules","Fruit, leaves",,,
herb_038,Guduchyadi Varga,Pushkarmool,Inula racemosa,Pushkarmool,Pushkarmool,Elecampane Root,"Katu, Tikta",Ushna,Katu,"Laghu, Ruksha, Tikshna",,decreases,mild increase,strongly decreases,,Heart tonic | Angina chest pain | Respiratory asthma | Digestive,"Angina, Asthma, Chronic cough, Heart disease, Pleurisy",,1-3g,,,"Pushkarmoolasava, Dashamoola",Root,,,
herb_039,Guduchyadi Varga,Varuna,Crataeva nurvala,Varun,Varun,Three-leaf Caper,"Tikta, Katu",Ushna,Katu,"Laghu, Ruksha",,decreases,mild increase,decreases,,Kidney stones | Urinary disorders | Prostate health BPH | Anti-inflammatory,"Kidney stones, BPH, UTI, Renal colic",,3-6g,,,"Varunadi Kashayam, Cystone contains this","Bark, leaves",,,
herb_040,Eladi Varga,Nagakesara,Mesua ferrea,Nagkesar,Nagkeshar,Ceylon Ironwood,"Tikta, Katu, Madhura",Ushna,Katu,"Laghu, Ruksha",,decreases,decreases,decreases,,Bleeding disorders | Piles with bleeding | Menorrhagia | Skin health | Digestive,"Bleeding piles, Menorrhagia, Skin diseases, Fever",,1-3g,,Honey or water,"Nagakesara Churna, Chandanasava","Stamens, bark, flowers",,,
herb_041,Karpuradi Varga,Mustha,Cyperus rotundus,Nagarmotha,Nagarmotha,Nut Grass / Purple Nutsedge,"Tikta, Katu, Kashaya",Sheeta,Katu,"Laghu, Ruksha",,mild increase,decreases,strongly decreases,,Digestive stops diarrhea | Fever reduction | Anti-inflammatory | Skin health | Urinary disorders,"Diarrhea, Fever, Skin diseases, Indigestion, UTI, Excessive thirst",,3-5g,,,"Mustarishta, Musta Churna",Rhizome/tuber,,,
herb_042,Karpuradi Varga,Ajamoda,Trachyspermum roxburghianum,Ajwain,Ajmo,Carom Seeds,"Katu, Tikta",Ushna,Katu,"Laghu, Ruksha, Tikshna",,decreases,mild increase,strongly decreases,,Digestive carminative | Gas and bloating | Colic in children | Arthritis | Kidney stones | Respiratory,"Gas, Indigestion, Colic, Arthritis, Cold",,1-3g,,,"Hingwashtak Churna, Ajmodadi Churna",Seeds,,,
herb_043,Guduchyadi Varga,Vidari Kanda,Pueraria tuberosa,Vidari,Vidarikand,Indian Kudzu,Madhura,Sheeta,Madhura,"Guru, Snigdha",,strongly decreases,decreases,mild increase,,Nourishing tonic | Increases body weight and muscle | Galactagogue | Aphrodisiac | Strength builder,"Emaciation, Low milk production, Debility, Convalescence, Sexual weakness",,3-6g,,Warm milk,"Vidaryadi Ghrita, Ashtavarga compound",Tuber/root,,,
herb_044,Pippalayadhi Varga,Amaltas,Cassia fistula,Amaltas,Garmalo,Indian Laburnum,Madhura,Sheeta,Madhura,"Guru, Snigdha, Mridu",,decreases,strongly decreases,mild increase,,Mild laxative | Constipation in children | Fever | Skin diseases | Liver conditions,"Constipation, Fever, Skin diseases",,,,,Aragvadhadi Kashayam,Fruit pulp,,,
herb_045,Guduchyadi Varga,Shatapushpa (Dill),Anethum sowa,Sowa/Suwa,Suva,Dill Seeds,"Katu, Tikta",Ushna,Katu,"Laghu, Snigdha",,decreases,increases in excess,decreases,,Digestive carminative | Lactation enhancement | Menstrual disorders | Colic in babies | Urinary disorders,"Indigestion, Bloating, Low breast milk, Dysmenorrhea, UTI",,2-4g,,,"Shatapushpadi Churna, Jeerakadi Modaka","Seeds, leaves",,,
herb_046,Guduchyadi Varga,Nagabala,Grewia hirsuta,Nagbala,Nagbala,Rough Crossberry,Madhura,Sheeta,Madhura,"Guru, Snigdha",,decreases,decreases,mild increase,,Respiratory conditions | Cardiac tonic | Strengthening | Urinary disorders,"Cough, Asthma, Cardiac weakness, Emaciation",,3-6g,,Milk,"Baladi compound, Chyawanprash","Root, bark",,,
herb_047,Karpuradi Varga,Katphala,Myrica esculenta,Kaiphal,Kaiphal,Box Myrtle / Bayberry,"Katu, Tikta, Kashaya",Ushna,Katu,"Laghu, Ruksha, Tikshna",,decreases,mild increase,strongly decreases,,ENT herb — sinusitis/headache | Nasal polyps | Throat infections | Skin diseases,"Sinusitis, Chronic rhinitis, Headache, Sore throat",,1-3g,,,"Shadbindu Taila (Nasya), Katphala compound",Bark,,,
herb_048,Guduchyadi Varga,Kushtha,Saussurea costus,Kuth,Upalasari,Costus Root,"Katu, Tikta",Ushna,Katu,"Laghu, Ruksha, Tikshna",,strongly decreases,mild increase,decreases,,Joint pain arthritis | Respiratory | Digestive | Skin diseases | Worms,"Arthritis, Cough, Asthma, Skin diseases, Worms",,1-3g,,,Dashamoola,Root,,,
herb_049,Guduchyadi Varga,Rasna,Pluchea lanceolata,Rasna,Rasna,Rasna,"Tikta, Madhura",Ushna,Madhura,"Laghu, Snigdha",,strongly decreases,neutral,decreases,,Best anti-Vata herb for joints | Rheumatoid arthritis | Gout | Neuralgia | Edema | Cough,"Arthritis, Gout, Neuralgia, Edema, Cough, Asthma",,3-6g,,,"Rasnadi Kashayam, Rasnasaptaka Kashayam, Dashamoola","Root, leaves",,,
herb_050,Guduchyadi Varga,Triphala (compound),T.chebula + T.bellirica + P.emblica,Triphala,Triphala,Three Fruits Compound,All 5 except Lavana,Ushna,Madhura,"Laghu, Ruksha",,decreases,decreases,decreases,Most balanced Tridoshahara compound in Ayurveda,Complete digestive tonic | Detox and Ama removal | Eye health (eyewash) | Weight management | Blood purifier | Gentle daily laxative | Anti-aging,"Constipation, Indigestion, Eye strain, Obesity, Blood disorders, Diabetes, Skin diseases",,3-6g,Night with warm water,,"Triphala Churna, Triphala Guggulu, Triphala Ghrita (eyewash)",Dried fruits of 3 trees,,,The single most used Ayurvedic formula — foundation of all treatment protocols
